method_enc,team_size,budget_ratio,progress,velocity,open_tickets,absences,overscoped,team_issues,tech_debt,scope_creep,key_person_risk,unclear_requirements,meetings_per_week,doc_score,duration_planned,sprints_count,ai_score,delay_days,overrun_pct,success,risk_category,methodology,sector,budget
3,2,0.336,35,29,21,3,0,1,0,0,0,0,4,6.5,318,22,5.4,40,0.0,0,2,Waterfall,Finance,318000.0
1,19,0.532,69,78,22,1,0,0,1,0,0,0,1,5.1,357,25,6.8,0,0.0,1,1,Kanban,IT,562000.0
3,20,1.093,40,50,0,0,1,0,1,1,0,0,4,4.2,240,17,3.7,46,9.3,0,3,Waterfall,Education,110000.0
0,5,0.307,87,103,3,0,0,0,0,0,0,0,4,5.8,272,19,10.0,0,0.0,1,0,Agile,Finance,262000.0
1,23,0.583,43,56,9,0,0,0,0,1,0,0,2,9.8,140,10,7.2,0,0.0,1,1,Kanban,Telecom,524000.0
1,11,0.322,39,56,29,1,0,0,0,0,0,1,2,3.8,361,25,5.4,36,0.0,0,2,Kanban,Logistique,278000.0
2,15,0.716,44,75,8,3,0,0,0,1,1,0,3,8.8,322,23,4.4,50,0.0,0,3,Scrum,Finance,48000.0
2,14,0.664,69,75,0,4,0,1,0,0,1,0,0,7.4,263,18,6.3,0,0.0,1,1,Scrum,Logistique,99000.0
0,13,0.296,61,61,7,1,0,0,0,0,0,0,3,9.6,374,26,8.7,0,0.0,1,0,Agile,IT,81000.0
2,20,0.391,92,95,17,0,0,0,0,0,0,0,2,8.9,111,7,10.0,0,0.0,1,0,Scrum,Telecom,488000.0
1,12,0.643,80,102,0,0,0,0,0,0,0,0,2,4.1,139,9,10.0,0,0.0,1,0,Kanban,Telecom,368000.0
3,14,0.879,19,55,10,0,1,0,0,1,0,1,3,1.0,136,9,1.6,64,0.0,0,3,Waterfall,Santé,496000.0
1,3,0.735,67,63,13,0,1,0,0,1,0,0,1,10.0,161,11,5.7,0,0.0,0,2,Kanban,Finance,174000.0
3,11,0.518,11,27,36,0,0,0,0,0,0,1,1,4.1,150,10,3.9,45,0.0,0,3,Waterfall,Education,117000.0
2,4,0.645,32,75,0,4,0,0,0,1,1,0,3,6.1,189,13,5.9,0,0.0,0,2,Scrum,Education,370000.0
3,9,0.551,38,45,0,3,1,0,0,0,1,0,2,8.5,193,13,4.3,37,0.0,0,3,Waterfall,Industrie,392000.0
3,13,0.39,39,49,23,0,0,0,1,0,0,0,0,2.8,238,17,5.1,33,0.0,0,2,Waterfall,Education,402000.0
3,7,0.442,28,64,0,2,0,0,0,1,1,1,3,0.1,260,18,4.8,38,0.0,0,2,Waterfall,Industrie,165000.0
0,4,0.285,54,72,0,0,0,0,0,0,0,0,3,7.1,172,12,9.3,0,0.0,1,0,Agile,Telecom,475000.0
1,3,0.646,38,78,14,0,1,0,0,0,0,0,2,7.4,339,24,6.0,0,0.0,1,1,Kanban,IT,93000.0
0,19,0.713,44,80,0,2,0,1,1,0,0,1,1,1.9,189,13,4.6,38,0.0,0,2,Agile,Industrie,177000.0
1,9,0.661,56,65,0,1,1,1,0,0,0,0,2,6.9,388,27,5.7,0,0.0,0,2,Kanban,Education,491000.0
3,11,0.494,24,31,35,1,0,0,0,1,1,1,1,2.2,94,6,1.8,63,0.0,0,3,Waterfall,E-commerce,413000.0
3,10,0.612,45,55,30,0,0,0,0,0,0,0,3,7.5,71,5,7.4,0,0.0,1,1,Waterfall,Santé,374000.0
1,24,0.371,73,63,2,6,0,1,1,0,1,1,2,5.2,98,7,3.6,43,0.0,0,3,Kanban,Industrie,318000.0
2,6,0.752,64,87,3,0,1,0,1,0,0,0,3,8.0,381,27,6.6,0,0.0,1,1,Scrum,E-commerce,401000.0
1,23,0.445,18,55,0,1,0,0,0,1,0,0,2,7.3,189,13,6.1,0,0.0,1,1,Kanban,Finance,299000.0
0,22,0.671,56,66,23,2,0,0,0,0,0,1,2,1.6,61,4,6.9,0,0.0,1,1,Agile,Logistique,182000.0
2,16,0.62,90,83,11,1,1,0,0,0,0,0,3,8.6,79,5,8.3,0,0.0,1,0,Scrum,E-commerce,69000.0
2,13,0.76,52,55,0,2,1,0,0,0,0,0,3,7.1,133,9,6.6,0,0.0,1,1,Scrum,IT,440000.0
3,20,0.505,30,64,0,0,0,0,0,0,0,0,3,9.3,99,7,8.6,0,0.0,1,0,Waterfall,Logistique,508000.0
1,4,0.504,42,46,5,1,1,0,1,0,0,0,2,6.1,365,26,4.7,38,0.0,0,2,Kanban,Telecom,53000.0
3,19,0.301,68,77,16,0,0,0,0,0,0,0,2,10.0,142,10,9.7,0,0.0,1,0,Waterfall,IT,232000.0
2,11,0.33,37,80,4,2,0,0,0,0,0,0,2,7.0,136,9,8.8,0,0.0,1,0,Scrum,E-commerce,211000.0
1,5,0.351,36,53,19,0,0,0,0,1,0,1,4,1.1,211,15,4.5,39,0.0,0,2,Kanban,IT,463000.0
2,12,0.565,55,90,5,2,0,0,0,0,1,0,3,8.7,279,19,8.5,0,0.0,1,0,Scrum,Industrie,52000.0
1,19,0.415,55,84,0,1,1,0,0,0,0,0,2,9.1,116,8,7.5,0,0.0,1,0,Kanban,E-commerce,100000.0
3,3,0.692,28,52,20,0,0,0,1,0,0,1,2,3.4,227,16,3.8,46,0.0,0,3,Waterfall,IT,63000.0
0,5,0.453,47,53,4,0,1,0,0,0,0,0,3,5.6,243,17,5.8,0,0.0,0,2,Agile,Finance,458000.0
2,20,0.643,42,80,0,0,0,0,0,0,0,0,3,5.8,296,21,9.5,0,0.0,1,0,Scrum,Santé,273000.0
0,19,0.732,40,61,14,0,0,0,1,0,0,1,2,1.1,249,17,5.5,0,0.0,0,2,Agile,Santé,114000.0
0,24,0.681,100,92,0,4,0,0,1,0,1,0,2,6.7,354,25,8.7,0,0.0,1,0,Agile,Education,91000.0
2,23,0.707,56,87,0,4,0,1,0,1,0,0,3,7.7,315,22,6.0,0,0.0,1,1,Scrum,Finance,500000.0
1,17,0.341,49,54,15,1,0,0,0,0,0,0,3,8.3,277,19,8.0,0,0.0,1,0,Kanban,Industrie,77000.0
3,20,0.471,5,21,22,2,1,0,1,0,0,0,3,7.1,280,20,2.4,65,0.0,0,3,Waterfall,Finance,546000.0
1,16,0.564,75,78,0,3,0,0,1,1,1,0,2,8.6,149,10,6.3,0,0.0,1,1,Kanban,Santé,278000.0
3,13,0.567,28,46,13,0,0,0,0,0,0,0,4,7.4,93,6,6.9,0,0.0,1,1,Waterfall,Telecom,356000.0
2,23,0.588,56,76,0,4,0,0,0,0,1,0,0,6.6,336,24,7.0,0,0.0,1,1,Scrum,Industrie,370000.0
0,11,0.481,52,62,12,0,0,0,0,0,0,0,2,3.8,122,8,7.8,0,0.0,1,0,Agile,Santé,583000.0
2,10,0.552,31,53,0,0,0,1,0,0,0,0,4,4.1,334,23,7.3,0,0.0,1,1,Scrum,IT,493000.0
2,8,0.36,96,105,6,3,0,1,0,0,1,0,2,7.5,37,2,8.3,0,0.0,1,0,Scrum,E-commerce,573000.0
1,16,0.643,63,64,11,1,0,0,0,0,1,0,4,7.7,287,20,8.0,0,0.0,1,0,Kanban,Santé,454000.0
2,10,0.804,40,64,25,0,0,0,1,1,0,0,2,8.7,264,18,4.4,47,0.0,0,3,Scrum,IT,262000.0
3,4,0.542,36,43,9,3,0,1,0,1,0,0,3,6.7,364,26,4.6,31,0.0,0,2,Waterfall,Santé,517000.0
2,12,0.322,65,84,8,0,0,0,0,0,0,1,2,0.4,323,23,8.2,0,0.0,1,0,Scrum,Education,197000.0
2,6,0.315,80,56,0,2,0,0,0,0,1,0,3,5.8,386,27,8.9,0,0.0,1,0,Scrum,Finance,574000.0
3,18,0.519,5,41,11,4,0,0,0,0,1,0,3,10.0,50,3,4.5,36,0.0,0,2,Waterfall,Finance,312000.0
2,6,0.413,49,82,0,0,0,0,0,1,0,0,4,7.0,176,12,8.8,0,0.0,1,0,Scrum,IT,333000.0
2,7,0.635,88,136,0,0,0,0,0,0,0,0,3,9.3,279,19,10.0,0,0.0,1,0,Scrum,Industrie,359000.0
1,10,0.999,42,37,34,1,1,0,0,1,0,1,3,2.0,366,26,1.2,66,0.0,0,3,Kanban,Education,50000.0
3,20,0.409,72,81,16,1,0,0,1,0,0,0,3,7.8,311,22,8.1,0,0.0,1,0,Waterfall,Santé,132000.0
2,5,0.293,53,62,16,0,0,0,0,0,0,1,1,0.1,387,27,7.1,0,0.0,1,1,Scrum,Logistique,253000.0
2,8,0.525,78,100,4,2,0,0,0,0,0,1,1,0.6,244,17,8.5,0,0.0,1,0,Scrum,Finance,250000.0
1,5,0.558,65,80,9,0,0,0,0,1,0,0,3,6.4,81,5,8.5,0,0.0,1,0,Kanban,Finance,380000.0
2,16,0.252,83,92,0,4,0,1,0,0,1,0,2,6.5,270,19,7.6,0,0.0,1,0,Scrum,IT,75000.0
2,19,0.493,42,69,11,3,0,0,0,0,1,1,1,2.4,170,12,5.0,35,0.0,0,2,Scrum,Industrie,537000.0
3,10,0.409,34,42,9,0,0,0,0,0,0,1,3,5.2,240,17,6.6,0,0.0,1,1,Waterfall,IT,77000.0
0,10,0.52,56,66,22,0,0,0,0,1,0,0,1,6.4,339,24,6.8,0,0.0,1,1,Agile,Logistique,400000.0
2,18,0.264,48,61,2,2,0,0,0,0,0,0,4,8.6,167,11,8.1,0,0.0,1,0,Scrum,IT,80000.0
0,7,0.418,74,83,14,0,0,0,1,1,0,0,2,4.8,148,10,6.4,0,0.0,1,1,Agile,Finance,461000.0
2,22,0.637,76,84,8,1,0,0,0,0,0,1,3,1.7,164,11,8.5,0,0.0,1,0,Scrum,Santé,393000.0
3,9,0.795,74,88,0,0,0,0,0,1,0,0,4,8.6,162,11,8.9,0,0.0,1,0,Waterfall,Industrie,566000.0
2,12,0.629,63,73,0,3,0,0,0,1,1,1,2,2.0,204,14,5.8,0,0.0,0,2,Scrum,Santé,489000.0
2,19,0.957,51,67,0,1,1,0,0,1,0,0,2,5.7,331,23,4.6,41,0.0,0,2,Scrum,Telecom,335000.0
2,3,0.49,47,78,10,3,0,0,0,1,0,0,2,7.6,328,23,6.9,0,0.0,1,1,Scrum,Santé,424000.0
2,22,0.715,100,74,0,4,1,0,0,0,0,0,1,6.4,281,20,6.6,0,0.0,1,1,Scrum,Santé,145000.0
1,21,0.546,45,54,9,0,0,0,0,1,0,1,2,6.6,210,15,6.9,0,0.0,1,1,Kanban,E-commerce,241000.0
2,8,0.338,49,79,0,0,0,0,0,0,0,0,3,7.2,356,25,8.7,0,0.0,1,0,Scrum,Industrie,538000.0
0,4,0.627,17,54,14,0,0,0,0,0,0,1,1,2.9,312,22,5.9,0,0.0,0,2,Agile,IT,71000.0
2,9,0.632,20,31,26,0,0,0,1,0,0,1,3,0.8,114,8,3.7,49,0.0,0,3,Scrum,Finance,147000.0
2,16,0.366,59,90,0,3,0,1,0,0,0,1,3,0.0,68,4,6.5,0,0.0,1,1,Scrum,Santé,487000.0
0,22,0.646,100,106,10,2,0,0,0,0,0,0,3,8.5,270,19,10.0,0,0.0,1,0,Agile,Education,343000.0
2,7,0.64,86,91,6,0,0,0,0,0,0,0,3,7.1,337,24,10.0,0,0.0,1,0,Scrum,E-commerce,211000.0
3,18,0.84,8,46,0,2,1,0,0,0,0,0,3,5.6,222,15,4.2,45,0.0,0,3,Waterfall,IT,331000.0
0,20,0.649,42,67,7,0,1,0,0,0,0,0,2,8.7,357,25,6.3,0,0.0,1,1,Agile,Education,382000.0
2,8,0.735,77,100,0,1,0,0,1,0,0,0,2,7.1,170,12,9.1,0,0.0,1,0,Scrum,Education,568000.0
2,13,0.506,40,54,4,0,0,0,0,0,0,1,1,6.4,295,21,8.1,0,0.0,1,0,Scrum,IT,58000.0
3,16,0.657,46,63,11,3,0,0,0,0,0,0,3,8.3,102,7,7.4,0,0.0,1,1,Waterfall,Telecom,345000.0
1,10,0.254,35,61,8,1,0,0,0,0,0,1,2,3.3,167,11,6.4,0,0.0,1,1,Kanban,IT,278000.0
3,20,0.44,15,21,15,0,0,0,0,1,0,0,2,8.3,302,21,5.1,31,0.0,0,2,Waterfall,Finance,360000.0
1,17,0.474,61,70,6,0,0,0,0,0,0,0,4,8.9,367,26,10.0,0,0.0,1,0,Kanban,Telecom,210000.0
2,2,0.43,70,95,16,2,0,0,0,0,1,0,2,7.7,166,11,7.4,0,0.0,1,1,Scrum,Industrie,539000.0
1,23,1.058,47,79,4,2,1,0,0,1,0,0,3,10.0,236,16,3.2,54,5.8,0,3,Kanban,Santé,32000.0
2,14,0.387,41,62,18,2,0,0,0,0,0,0,3,7.2,61,4,6.9,0,0.0,1,1,Scrum,Logistique,195000.0
1,23,0.394,20,24,32,4,0,1,0,1,1,1,2,3.8,268,19,1.0,66,0.0,0,3,Kanban,Education,188000.0
1,12,0.625,24,47,4,3,0,0,0,0,0,0,3,5.9,276,19,6.2,0,0.0,1,1,Kanban,Industrie,159000.0
1,3,0.84,38,66,6,0,1,0,1,0,0,0,3,6.9,268,19,4.7,47,0.0,0,2,Kanban,IT,28000.0
3,17,0.373,66,67,36,0,0,0,0,0,0,1,2,5.2,185,13,6.6,0,0.0,1,1,Waterfall,Industrie,21000.0
1,20,0.627,62,58,5,0,1,0,0,0,0,1,2,4.1,223,15,5.8,0,0.0,0,2,Kanban,Finance,179000.0
2,5,0.506,29,51,12,1,0,0,1,1,0,0,3,9.6,360,25,5.6,0,0.0,0,2,Scrum,Telecom,287000.0
1,4,0.361,39,73,25,1,0,0,0,0,0,1,2,3.7,221,15,5.8,0,0.0,0,2,Kanban,IT,408000.0
1,23,0.331,66,81,1,2,0,0,0,0,0,0,3,6.2,133,9,9.0,0,0.0,1,0,Kanban,Santé,241000.0
3,4,0.699,59,65,13,1,1,0,0,0,0,0,3,6.9,251,17,6.9,0,0.0,1,1,Waterfall,Education,564000.0
2,2,0.684,67,92,10,3,1,0,0,0,1,0,2,7.6,51,3,5.8,0,0.0,0,2,Scrum,Logistique,286000.0
2,13,0.503,59,80,5,0,0,0,1,0,0,0,0,6.0,316,22,7.4,0,0.0,1,1,Scrum,Industrie,206000.0
2,12,0.44,64,98,16,1,0,0,0,0,0,0,4,4.5,32,2,9.0,0,0.0,1,0,Scrum,Logistique,18000.0
1,6,0.608,69,72,4,0,0,0,0,0,0,0,3,7.3,297,21,10.0,0,0.0,1,0,Kanban,Santé,597000.0
3,16,0.433,70,56,6,1,0,0,0,1,0,1,4,4.3,243,17,7.2,0,0.0,1,1,Waterfall,IT,134000.0
3,5,0.785,36,67,14,1,0,0,1,1,0,1,2,1.6,104,7,3.9,46,0.0,0,3,Waterfall,Finance,61000.0
1,22,0.429,9,47,11,0,0,0,0,0,0,0,1,9.2,305,21,5.3,33,0.0,0,2,Kanban,Education,52000.0
1,11,0.461,34,53,8,1,0,0,0,1,0,0,3,8.5,78,5,6.5,0,0.0,1,1,Kanban,E-commerce,165000.0
3,15,0.539,14,28,6,1,1,0,0,0,0,0,3,7.0,141,10,5.0,33,0.0,0,2,Waterfall,Logistique,197000.0
3,21,0.654,62,87,12,0,0,0,0,1,0,1,3,3.1,111,7,7.8,0,0.0,1,0,Waterfall,Logistique,24000.0
3,15,0.945,39,34,0,2,1,0,1,0,0,0,3,6.5,161,11,3.9,47,0.0,0,3,Waterfall,Industrie,392000.0
2,10,0.667,81,107,0,0,0,0,0,1,0,0,2,6.5,242,17,9.0,0,0.0,1,0,Scrum,Industrie,163000.0
2,14,0.581,67,65,5,2,0,1,0,0,0,0,2,5.0,185,13,7.5,0,0.0,1,0,Scrum,Santé,289000.0
1,22,0.503,72,65,7,1,1,0,0,0,0,0,3,7.9,209,14,8.4,0,0.0,1,0,Kanban,Education,44000.0
2,22,0.412,79,93,5,4,0,1,1,0,0,0,3,4.4,85,6,7.2,0,0.0,1,1,Scrum,Finance,346000.0
0,21,0.437,39,62,17,0,0,0,0,0,0,0,3,5.5,247,17,7.8,0,0.0,1,0,Agile,Santé,447000.0
0,5,0.413,36,71,15,0,1,0,0,0,0,0,1,5.4,166,11,6.3,0,0.0,1,1,Agile,Finance,131000.0
2,3,0.783,61,75,9,0,0,0,0,1,0,0,1,4.7,369,26,7.0,0,0.0,1,1,Scrum,Education,516000.0
2,15,0.494,72,80,8,0,0,0,0,0,0,0,0,5.3,99,7,9.2,0,0.0,1,0,Scrum,Education,385000.0
2,22,0.803,73,87,1,1,1,0,0,0,0,0,2,8.4,85,6,7.3,0,0.0,1,1,Scrum,E-commerce,286000.0
3,22,0.577,32,22,13,2,1,1,0,0,0,0,2,9.4,191,13,3.8,44,0.0,0,3,Waterfall,Education,155000.0
2,14,0.417,66,90,2,1,0,1,1,0,0,0,3,6.7,366,26,7.7,0,0.0,1,0,Scrum,Finance,65000.0
2,19,0.658,40,65,7,0,0,0,1,0,0,0,2,9.9,302,21,7.2,0,0.0,1,1,Scrum,Santé,583000.0
1,15,0.677,30,70,16,0,1,0,1,1,0,0,1,2.9,268,19,3.0,47,0.0,0,3,Kanban,Logistique,178000.0
2,19,0.352,50,60,6,0,0,0,0,0,1,0,2,7.0,250,17,6.8,0,0.0,1,1,Scrum,Telecom,40000.0
0,17,0.619,56,77,18,0,0,0,0,0,0,1,3,1.3,352,25,8.1,0,0.0,1,0,Agile,Telecom,532000.0
0,24,0.665,46,66,5,3,1,0,0,0,0,0,3,6.1,47,3,6.0,0,0.0,1,1,Agile,Industrie,284000.0
2,15,0.751,41,64,8,0,1,0,1,0,0,1,2,2.1,77,5,4.2,41,0.0,0,3,Scrum,IT,108000.0
2,12,0.383,66,60,0,2,0,1,1,0,0,0,2,5.0,333,23,6.0,0,0.0,1,1,Scrum,Industrie,194000.0
2,17,0.687,67,93,5,1,1,1,0,1,0,0,3,5.9,147,10,5.6,0,0.0,0,2,Scrum,Finance,128000.0
2,5,1.015,56,70,3,0,1,0,0,1,0,0,2,8.8,253,18,5.0,41,1.5,0,2,Scrum,Telecom,254000.0
2,24,0.517,68,87,19,2,1,1,0,1,0,0,2,9.7,194,13,5.2,40,0.0,0,2,Scrum,Industrie,447000.0
1,15,0.57,33,50,17,1,1,0,0,0,0,0,3,5.7,136,9,5.3,33,0.0,0,2,Kanban,Logistique,29000.0
0,13,0.58,61,66,0,1,0,0,0,0,0,0,3,4.6,312,22,9.1,0,0.0,1,0,Agile,Santé,104000.0
3,10,0.361,26,32,13,4,0,0,0,0,1,1,1,0.0,189,13,3.9,40,0.0,0,3,Waterfall,Santé,598000.0
0,16,0.676,35,83,13,6,0,1,0,0,1,0,4,4.1,185,13,4.8,40,0.0,0,2,Agile,E-commerce,536000.0
1,14,0.744,62,81,0,3,0,0,1,0,1,0,3,6.4,216,15,6.3,0,0.0,1,1,Kanban,Education,174000.0
0,4,0.763,61,51,2,2,1,1,0,0,0,0,1,2.7,112,8,4.3,44,0.0,0,3,Agile,E-commerce,224000.0
2,4,0.568,28,73,0,1,0,0,0,0,0,0,2,8.4,222,15,7.8,0,0.0,1,0,Scrum,Logistique,536000.0
1,7,0.582,17,53,3,0,0,0,0,1,0,1,1,3.4,200,14,4.7,33,0.0,0,2,Kanban,Santé,69000.0
1,12,0.501,40,66,21,0,0,0,0,0,0,0,1,10.0,304,21,7.6,0,0.0,1,0,Kanban,Santé,39000.0
2,6,0.65,69,110,9,2,0,0,0,0,0,0,3,3.2,117,8,9.5,0,0.0,1,0,Scrum,E-commerce,27000.0
